ID,pais,edad,año_nacimiento,sexo,años_educacion,estado_marital,decil_ingresos,satisfaccion_vida,felicidad,reuniones_sociales,deporte,horas_trabajo,problemas_sueño,interes_politica,confianza_politicos,importancia_tradiciones,uso_internet,sinceridad,nivel_entendimiento,generacion,region,grupo
79900,SI,81.0,1942.0,hombre,11.0,viudo,2.0,5.0,6.0,5.0,0.0,45.0,1.0,2.0,5.0,3.0,1.0,mucho,de vez en cuanto,silent generation,Resto Europa,Resto_mundo
79905,SI,70.0,1953.0,mujer,14.0,desconocido,2.0,5.0,5.0,3.0,1.0,50.0,2.0,2.0,0.0,2.0,5.0,mucho,casi siempre,baby boomers,Resto Europa,Resto_mundo
79918,SI,47.0,1976.0,mujer,21.0,soltero,6.0,8.0,9.0,3.0,2.0,44.0,1.0,4.0,3.0,2.0,5.0,bastante,casi siempre,gen x,Resto Europa,Resto_mundo
79939,SI,80.0,1943.0,mujer,12.0,desconocido,5.0,0.0,3.0,4.0,0.0,0.0,3.0,3.0,5.0,1.0,1.0,bastante,casi siempre,silent generation,Resto Europa,Resto_mundo
79944,SI,58.0,1965.0,mujer,11.0,soltero,6.0,8.0,8.0,5.0,2.0,50.0,3.0,4.0,2.0,3.0,5.0,mucho,casi siempre,gen x,Resto Europa,Resto_mundo
79949,SI,35.0,1988.0,mujer,15.0,soltero,6.0,6.0,6.0,6.0,2.0,40.0,1.0,4.0,0.0,4.0,5.0,bastante,a menudo,millennials,Resto Europa,Resto_mundo
79960,SI,44.0,1979.0,mujer,13.0,desconocido,6.0,8.0,8.0,3.0,7.0,80.0,1.0,2.0,9.0,1.0,3.0,mucho,casi siempre,gen x,Resto Europa,Resto_mundo
79968,SI,40.0,1983.0,hombre,13.0,divorciado legalmente,5.0,3.0,1.0,2.0,0.0,40.0,3.0,4.0,1.0,5.0,5.0,bastante,casi siempre,millennials,Resto Europa,Resto_mundo
79970,SI,40.0,1983.0,mujer,18.0,desconocido,5.0,7.0,7.0,4.0,2.0,25.0,2.0,2.0,4.0,2.0,5.0,mucho,casi siempre,millennials,Resto Europa,Resto_mundo
79982,SI,60.0,1963.0,mujer,14.0,desconocido,4.0,5.0,9.0,6.0,7.0,40.0,1.0,3.0,4.0,3.0,5.0,mucho,casi siempre,baby boomers,Resto Europa,Resto_mundo
79997,SI,54.0,1969.0,mujer,15.0,desconocido,7.0,9.0,9.0,3.0,2.0,40.0,1.0,3.0,2.0,2.0,5.0,mucho,casi siempre,gen x,Resto Europa,Resto_mundo
80070,SI,56.0,1967.0,hombre,16.0,soltero,5.0,7.0,7.0,4.0,0.0,45.0,3.0,1.0,1.0,3.0,3.0,mucho,casi siempre,gen x,Resto Europa,Resto_mundo
80088,SI,21.0,2002.0,mujer,15.0,soltero,7.0,10.0,10.0,6.0,2.0,39.0,1.0,3.0,4.0,1.0,5.0,mucho,casi siempre,gen z,Resto Europa,Resto_mundo
80202,SI,36.0,1987.0,hombre,19.0,soltero,6.0,7.0,7.0,6.0,3.0,40.0,1.0,2.0,2.0,5.0,5.0,mucho,casi siempre,millennials,Resto Europa,Resto_mundo
80271,SI,57.0,1966.0,mujer,12.0,desconocido,2.0,5.0,5.0,6.0,1.0,42.0,2.0,4.0,5.0,2.0,2.0,mucho,casi siempre,gen x,Resto Europa,Resto_mundo
80299,SI,62.0,1961.0,mujer,17.0,desconocido,4.0,8.0,9.0,5.0,3.0,60.0,2.0,2.0,4.0,5.0,5.0,mucho,a menudo,baby boomers,Resto Europa,Resto_mundo
80334,SI,25.0,1998.0,hombre,12.0,soltero,8.0,9.0,8.0,6.0,7.0,30.0,2.0,1.0,0.0,5.0,5.0,mucho,casi siempre,gen z,Resto Europa,Resto_mundo
80353,SI,18.0,2005.0,hombre,12.0,soltero,9.0,9.0,9.0,6.0,2.0,39.0,2.0,4.0,7.0,4.0,3.0,mucho,casi siempre,gen z,Resto Europa,Resto_mundo
80361,SI,18.0,2005.0,hombre,9.0,soltero,6.0,9.0,8.0,4.0,6.0,16.0,1.0,4.0,5.0,2.0,5.0,mucho,casi siempre,gen z,Resto Europa,Resto_mundo
80448,SI,69.0,1954.0,hombre,12.0,casado legalmente,4.0,3.0,4.0,4.0,1.0,45.0,2.0,2.0,3.0,2.0,5.0,mucho,casi siempre,baby boomers,Resto Europa,Resto_mundo
80491,SI,34.0,1989.0,mujer,17.0,soltero,7.0,10.0,10.0,7.0,7.0,45.0,1.0,2.0,1.0,1.0,5.0,mucho,casi siempre,millennials,Resto Europa,Resto_mundo
80500,SI,45.0,1978.0,mujer,16.0,desconocido,10.0,10.0,10.0,6.0,6.0,50.0,2.0,3.0,3.0,2.0,5.0,mucho,casi siempre,gen x,Resto Europa,Resto_mundo
80504,SI,52.0,1971.0,mujer,8.0,desconocido,4.0,8.0,7.0,2.0,0.0,40.0,2.0,4.0,5.0,1.0,2.0,mucho,casi siempre,gen x,Resto Europa,Resto_mundo
80546,SI,80.0,1943.0,hombre,18.0,desconocido,8.0,5.0,6.0,5.0,7.0,50.0,1.0,2.0,3.0,1.0,3.0,mucho,casi siempre,silent generation,Resto Europa,Resto_mundo
80562,SI,48.0,1975.0,mujer,20.0,desconocido,10.0,10.0,10.0,6.0,5.0,40.0,1.0,3.0,3.0,5.0,5.0,bastante,a menudo,gen x,Resto Europa,Resto_mundo
